Fecha,Demanda
2021-01-04,24.0
2021-01-11,390.0
2021-01-18,599.0
2021-01-25,90.0
2021-02-01,0.0
2021-02-08,204.0
2021-02-15,222.0
2021-02-22,644.0
2021-03-01,0.0
2021-03-08,629.0
2021-03-15,12.0
2021-03-22,186.0
2021-03-29,520.0
2021-04-05,281.0
2021-04-12,12.0
2021-04-19,492.0
2021-04-26,414.0
2021-05-03,12.0
2021-05-10,312.0
2021-05-17,316.0
2021-05-24,234.0
2021-05-31,264.0
2021-06-07,573.0
2021-06-14,60.0
2021-06-21,396.0
2021-06-28,0.0
2021-07-05,354.0
2021-07-12,6.0
2021-07-19,348.0
2021-07-26,12.0
2021-08-02,0.0
2021-08-09,348.0
2021-08-16,360.0
2021-08-23,444.0
2021-08-30,0.0
2021-09-06,0.0
2021-09-13,288.0
2021-09-20,300.0
2021-09-27,288.0
2021-10-04,240.0
2021-10-11,348.0
2021-10-18,48.0
2021-10-25,276.0
2021-11-01,156.0
2021-11-08,444.0
2021-11-15,108.0
2021-11-22,345.0
2021-11-29,228.0
2021-12-06,252.0
2021-12-13,276.0
2021-12-20,324.0
2021-12-27,360.0
2022-01-03,0.0
2022-01-10,370.0
2022-01-17,288.0
2022-01-24,300.0
2022-01-31,204.0
2022-02-07,396.0
2022-02-14,216.0
2022-02-21,324.0
2022-02-28,239.0
2022-03-07,216.0
2022-03-14,264.0
2022-03-21,276.0
2022-03-28,419.0
2022-04-04,420.0
2022-04-11,48.0
2022-04-18,414.0
2022-04-25,407.0
2022-05-02,526.0
2022-05-09,792.0
2022-05-16,0.0
2022-05-23,453.0
2022-05-30,432.0
2022-06-06,468.0
2022-06-13,384.0
2022-06-20,672.0
2022-06-27,336.0
2022-07-04,468.0
2022-07-11,455.0
2022-07-18,431.0
2022-07-25,372.0
2022-08-01,403.0
2022-08-08,444.0
2022-08-15,451.0
2022-08-22,552.0
2022-08-29,348.0
2022-09-05,12.0
2022-09-12,439.0
2022-09-19,743.0
2022-09-26,348.0
2022-10-03,276.0
2022-10-10,360.0
2022-10-17,272.0
2022-10-24,336.0
2022-10-31,120.0
2022-11-07,463.0
2022-11-14,439.0
2022-11-21,348.0
2022-11-28,348.0
2022-12-05,204.0
2022-12-12,768.0
2022-12-19,312.0
2022-12-26,684.0
2023-01-02,0.0
2023-01-09,36.0
2023-01-16,324.0
2023-01-23,882.0
2023-01-30,36.0
2023-02-06,0.0
2023-02-13,216.0
2023-02-20,384.0
2023-02-27,288.0
2023-03-06,348.0
2023-03-13,479.0
2023-03-20,275.0
2023-03-27,636.0
2023-04-03,0.0
2023-04-10,226.0
2023-04-17,467.0
2023-04-24,432.0
2023-05-01,144.0
2023-05-08,396.0
2023-05-15,480.0
2023-05-22,395.0
2023-05-29,456.0
2023-06-05,408.0
2023-06-12,408.0
2023-06-19,311.0
2023-06-26,384.0
2023-07-03,790.0
2023-07-10,0.0
2023-07-17,348.0
2023-07-24,456.0
2023-07-31,420.0
2023-08-07,456.0
2023-08-14,420.0
2023-08-21,420.0
2023-08-28,335.0
2023-09-04,720.0
2023-09-11,0.0
2023-09-18,324.0
2023-09-25,444.0
2023-10-02,324.0
2023-10-09,516.0
2023-10-16,335.0
2023-10-23,491.0
2023-10-30,360.0
2023-11-06,216.0
2023-11-13,179.0
2023-11-20,215.0
2023-11-27,552.0
2023-12-04,216.0
2023-12-11,312.0
2023-12-18,540.0
2023-12-25,768.0
2024-01-01,0.0
2024-01-08,0.0
2024-01-15,564.0
2024-01-22,828.0
2024-01-29,751.0
2024-02-05,708.0
2024-02-12,252.0
2024-02-19,510.0
2024-02-26,877.0
2024-03-04,731.0
2024-03-11,551.0
2024-03-18,180.0
2024-03-25,66.0
2024-04-01,0.0
2024-04-08,1057.0
2024-04-15,136.0
2024-04-22,1368.0
2024-04-29,2495.0
2024-05-06,24.0
2024-05-13,0.0
2024-05-20,0.0
2024-05-27,28.0
2024-06-03,948.0
2024-06-10,1728.0
2024-06-17,695.0
2024-06-24,1248.0
2024-07-01,324.0
2024-07-08,960.0
2024-07-15,1716.0
2024-07-22,804.0
2024-07-29,983.0
2024-08-05,660.0
2024-08-12,612.0
2024-08-19,576.0
2024-08-26,3336.0
2024-09-02,96.0
2024-09-09,0.0
2024-09-16,2772.0
2024-09-23,144.0
2024-09-30,336.0
2024-10-07,1235.0
2024-10-14,1212.0
2024-10-21,1032.0
2024-10-28,623.0
2024-11-04,1283.0
2024-11-11,1283.0
2024-11-18,1127.0
2024-11-25,924.0
2024-12-02,1199.0
2024-12-09,1800.0
2024-12-16,1944.0
2024-12-23,1104.0
2024-12-30,648.0
2025-01-06,108.0
2025-01-13,215.0
2025-01-20,2580.0
2025-01-27,2040.0
2025-02-03,307.0
2025-02-10,588.0
2025-02-17,840.0
2025-02-24,876.0
2025-03-03,563.0
2025-03-10,1668.0
2025-03-17,1218.0
2025-03-24,996.0
2025-03-31,551.0
2025-04-07,2294.0
2025-04-14,924.0
2025-04-21,951.0
2025-04-28,1433.0
2025-05-05,396.0
2025-05-12,312.0
2025-05-19,2577.0
2025-05-26,2340.0
2025-06-02,549.0
2025-06-09,916.0
2025-06-16,730.0
2025-06-23,1392.0
2025-06-30,852.0
2025-07-07,0.0
2025-07-14,432.0
2025-07-21,1488.0
2025-07-28,1404.0
2025-08-04,1578.0
2025-08-11,444.0
2025-08-18,1088.0
2025-08-25,1284.0
2025-09-01,168.0
2025-09-08,1565.0
2025-09-15,0.0
2025-09-22,0.0
2025-09-29,3057.0
2025-10-06,1029.0
2025-10-13,1533.0
2025-10-20,1008.0
2025-10-27,2676.0
2025-11-03,1716.0
2025-11-10,1317.0
2025-11-17,246.0
2025-11-24,816.0
2025-12-01,60.0
2025-12-08,756.0
2025-12-15,1728.0
2025-12-22,900.0
2025-12-29,948.0
2026-01-05,120.0
2026-01-12,60.0
2026-01-19,1896.0
2026-01-26,2044.0
2026-02-02,72.0
2026-02-09,0.0
2026-02-16,0.0
2026-02-23,4682.0
