fecha,demanda
2021-01-01,2892
2021-02-01,844
2021-03-01,1180
2021-04-01,2806
2021-05-01,1786
2021-06-01,1829
2021-07-01,2200
2021-08-01,2952
2021-09-01,1896
2021-10-01,2376
2021-11-01,2448
2021-12-01,1992
2022-01-01,696
2022-02-01,1272
2022-03-01,2088
2022-04-01,1652
2022-05-01,1272
2022-06-01,2243
2022-07-01,1764
2022-08-01,1980
2022-09-01,2246
2022-10-01,2021
2022-11-01,1752
2022-12-01,3300
2023-01-01,2315
2023-02-01,1416
2023-03-01,2364
2023-04-01,1476
2023-05-01,2604
2023-06-01,1674
2023-07-01,2452
2023-08-01,2688
2023-09-01,3021
2023-10-01,3239
2023-11-01,3910
2023-12-01,3528
2024-01-01,3552
2024-02-01,1354
2024-03-01,4004
2024-04-01,3928
2024-05-01,3048
2024-06-01,3633
2024-07-01,2898
2024-08-01,4584
2024-09-01,1920
2024-10-01,3584
2024-11-01,3240
2024-12-01,5070
2025-01-01,3528
2025-02-01,3286
2025-03-01,4335
2025-04-01,4771
2025-05-01,3156
2025-06-01,3780
2025-07-01,3406
2025-08-01,4020
2025-09-01,4708
2025-10-01,5166
2025-11-01,3717
2025-12-01,4245
2026-01-01,5608
2026-02-01,5195
