fecha,demanda
2021-01-01,72
2021-02-01,471
2021-03-01,2924
2021-04-01,3420
2021-05-01,3200
2021-06-01,3490
2021-07-01,3784
2021-08-01,3396
2021-09-01,1476
2021-10-01,2196
2021-11-01,1740
2021-12-01,2424
2022-01-01,864
2022-02-01,1440
2022-03-01,3036
2022-04-01,2202
2022-05-01,3360
2022-06-01,5316
2022-07-01,2988
2022-08-01,3924
2022-09-01,3156
2022-10-01,3168
2022-11-01,2412
2022-12-01,3084
2023-01-01,1488
2023-02-01,840
2023-03-01,2208
2023-04-01,2640
2023-05-01,4416
2023-06-01,4500
2023-07-01,3672
2023-08-01,4872
2023-09-01,3526
2023-10-01,3600
2023-11-01,2664
2023-12-01,3144
2024-01-01,1608
2024-02-01,1236
2024-03-01,2688
2024-04-01,4296
2024-05-01,5688
2024-06-01,5676
2024-07-01,6048
2024-08-01,6672
2024-09-01,1824
2024-10-01,3264
2024-11-01,3082
2024-12-01,5340
2025-01-01,2676
2025-02-01,2688
2025-03-01,3912
2025-04-01,9552
2025-05-01,5496
2025-06-01,10283
2025-07-01,4212
2025-08-01,5988
2025-09-01,4668
2025-10-01,4368
2025-11-01,3498
2025-12-01,4302
2026-01-01,3012
2026-02-01,2664
